point,velocity
131,-14.021313059695837
132,-15.951214668912652
133,-16.64613784022614
134,-14.857458693987123
135,-15.135302998140464
136,-13.46731777587676
137,-12.185088957594845
138,-11.441278615960556
139,-11.728492326312958
140,-13.33179934699509
141,-10.811696243899567
142,-9.52116341818709
143,-9.427759232591779
144,-8.546505008819093
145,-9.446997742086323
146,-10.9954033411016
147,-8.639434339783936
148,-8.681800576606522
149,-8.866073455360272
150,-8.972735783163115
151,-8.472686143298713
152,-7.918931181026795
153,-8.591366923753045
154,-7.976350047080531
155,-8.052438347678915
156,-7.390355117270692
157,-7.423264349636583
158,-9.452635684103088
159,-7.859133652148949
160,-7.808959427792367
161,-6.901779078896194
162,-7.199154032738513
163,-6.529742602516279
164,-9.36315623517923
165,-6.559225021243145
166,-6.68435295987894
167,-6.226623794111818
168,-6.7881630328361116
169,-8.243513128987928
170,-8.257396438635231
171,-6.96233102626375
172,-6.9726912635547755
173,-6.953845832658295
174,-6.291875453812518
175,-7.702746319525528
176,-6.736376509175519
177,-7.342364656366735
178,-6.564383007417877
179,-6.097668277181717
180,-6.397467764753894
181,-7.406712612473947
182,-7.377811297224161
183,-7.075779132790809
184,-6.778150267333822
185,-8.104816648669216
186,-7.740365303361472
187,-7.244244093279491
188,-8.00176807532137
189,-7.859739742149143
190,-8.070422650656624
191,-8.029311538419007
192,-7.83245977503545
193,-8.208669044100539
194,-7.920313982444973
195,-8.299975374595203
196,-8.58929220469617
197,-10.04829405092192
198,-10.081814165509844
199,-7.103470437026691
200,-7.5076868132756305
201,-10.611953347265905
202,-11.107496786467507
203,-7.290824518988709
204,-10.312316488362134
205,-9.906736185830395
206,-10.669950004928648
207,-12.099215062596633
208,-8.615923765782519
209,-10.042826428545625
210,-9.85255042346865
211,-10.951228656999838
212,-11.318236281668295
213,-11.213394077068958
214,-11.088450679637411
215,-11.232528140302275
216,-10.953267055288551
217,-14.470936585310087
218,-13.27693662863387
219,-14.927941982971257
220,-14.133442674778347
221,-13.580677034106975
222,-14.448558954150833
223,-14.168887643384405
224,-17.07410098527684
225,-14.439934106928435
226,-12.889619662393562
227,-12.328139482544486
228,-13.606323127859518
229,-13.538372609066922
230,-12.15735066267323
231,-12.113903862477109
232,-13.451462615037025
233,-14.286375801850339
234,-14.12620762462074
235,-9.29116679579493
236,-15.675387193246328
237,-14.430673304602951
238,-9.579565580244429
239,-12.952581149949587
240,-14.088131892139138
241,-15.434627695310061
242,-15.636598978688804
243,-8.66993246008872
244,-10.393681722629855
245,-13.508126081363011
246,-15.433293283991844
247,-17.58990395970252
248,-8.12113843694777
249,-11.234778371802236
250,-13.858572535369282
251,-16.288224917085085
252,-16.381249036263227
253,-9.90697396848918
254,-12.042124116957492
255,-15.127887240201199
256,-15.940455221631291
257,-16.426556018752407
258,-8.480537285316178
259,-11.61731283058318
260,-12.7673632899485
261,-14.50124955163177
262,-14.528588179953625
263,-9.048333479248733
264,-11.024229552014868
265,-12.06560370716515
266,-13.673939221523485
267,-16.248595128299385
268,-7.953072007088916
269,-10.677928348868333
270,-13.24008880842046
271,-17.839747122252092
272,-7.742866547290477
273,-10.088817525166954
274,-11.436761739873791
275,-14.659671322928814
276,-18.00983982493403
277,-7.983424992646836
278,-8.700249726029943
279,-12.949237398721966
280,-15.344103819029689
281,-16.112608713559815
282,-9.428516364404006
283,-12.495126121537131
284,-12.356896923024445
285,-11.901549735520982
286,-14.90502230410507
287,-12.386428649501235
288,-10.793300278211547
289,-13.13591805187769
290,-13.593754058988646
291,-8.857503624460247
292,-7.806894521277242
293,-10.086866111051808
294,-12.892449475250904
295,-14.277638990475806
296,-7.505412933861181
297,-9.47472232581899
298,-11.690555721225252
299,-14.747890172813092
300,-16.224280243609943
301,-6.975314766330832
302,-9.174216368330152
303,-12.949401608656775
304,-16.302347428726264
305,-7.381623397105078
306,-13.092898766182557
307,-18.55737141429593
308,-18.77941947136573
309,-5.896961529326831
310,-11.82890674695041
311,-16.46039260632971
312,-18.11035622213889
313,-3.584917958090457
314,-7.497037182759431
315,-15.12969660950395
316,-15.404828473966566
317,-5.054936607667793
318,-7.172394151269196
319,-10.621177691480487
320,-13.609371712545832
321,-2.873201497386074
322,-4.290546016779352
323,-7.586985086102636
324,-10.569594991332949
325,-4.120891421266714
326,-3.7083406922774436
327,-7.199713488220635
328,-9.109533931543202
329,-10.060826760153692
330,-3.471758190459215
331,-4.7872969242145915
332,-6.564606192789574
333,-8.832059915598924
334,-3.5022187432262664
335,-4.551327650497034
336,-7.515578538715006
337,-8.385572838808379
338,-4.477197684035966
339,-7.846655947047521
340,-6.963866661818571
341,-8.568481806725774
342,-7.544057464291849
343,-8.979746362076908
344,-6.8709458214550665
345,-7.224501426110497
346,-9.864486421541104
347,-9.617723097405685
348,-8.528854239745675
349,-8.045004973092217
350,-9.020142010681552
351,-8.341597133914574
352,-6.7288618882230224
353,-12.104731054780583
354,-10.798618777778712
355,-8.819461317272623
356,-12.22225586027711
357,-11.850933069881044
358,-11.273881212047398
359,-9.470509333606326
360,-8.380147001287058
361,-11.329892815439228
362,-13.687720522082428
363,-6.565064182280222
364,-8.185834092408067
365,-11.79179419293972
366,-14.480696196955465
367,-5.892632888753531
368,-10.496657603138557
369,-13.990593729756384
370,-15.861450708075791
371,-7.139252064330784
372,-10.163285702933784
373,-14.770941010993898
374,-13.894138873329737
375,-9.991932910645414
376,-13.241039958347582
377,-12.799668609113892
378,-10.722646476957337
379,-12.621169316496518
380,-14.01950113595704
381,-13.02220331536714
382,-12.999303902798488
383,-10.187694675269002
384,-9.020028714455009
385,-13.268001724095784
386,-12.108526303690985
387,-10.369014382310185
388,-8.718056592703558
389,-11.18949257110295
390,-10.458392291597471
391,-8.22210279199245
392,-8.452121367718522
393,-8.24079973773761
394,-9.169363556014899
395,-7.695134835598886
396,-6.669564002356179
397,-8.097386837496623
398,-8.27538276184384
399,-7.370073714321697
400,-6.683580662784517
401,-8.335797866160906
402,-6.738885245558025
403,-7.228468168890386
404,-6.283385371533176
405,-6.284058257406672
406,-6.358626382045437
407,-5.714934212877978
408,-7.096280633294223
409,-7.943581443858155
410,-6.604747723044951
411,-3.4685627063000686
412,-3.8642741432738283
413,-7.12913028659725
414,-6.337085816519705
415,-4.123525494563026
416,-2.192814558295633
417,-1.389365006046135
418,-6.0485104285755344
419,-4.172807034053756
420,-0.854113069000405
421,0.9161915970887654
422,1.2814158240937361
423,-2.953314863436712
424,0.1699190446122777
425,1.9221858733079604
426,1.4889620941022272
427,2.296213748707808
428,2.956244285511286
429,3.209396121213038
430,1.7100442126469624
431,1.365256404479441
432,2.7858303794970216
433,3.1996434361807333
434,2.106567910280074
435,-0.27007890349946967
436,2.9238094323955197
437,3.0161956327441066
438,1.357823713379058
439,-0.6451095159857568
440,3.0531241739744517
441,2.6076768556700722
442,0.6761053311445603
443,3.6623888379168106
444,3.155070615059914
445,2.1889823926187493
446,-0.31903053945084453
447,3.80395927312817
448,3.9256446763661432
449,3.4310285765290596
450,0.9520091986697281
451,4.600050112213805
452,3.973996813081672
453,2.8643805721590225
454,1.1339253821881987
455,4.215196581795359
456,3.4711568579617134
457,4.820560943209223
458,3.566436333380165
459,4.9666633261011
460,3.784151784542326
461,4.547981699172302
462,3.905470608946309
463,4.2909817570370485
464,4.839370348104206
465,4.291683860128943
466,4.300776235308274
467,4.552740685254715
468,4.86382620534792
469,5.0334151134663765
470,5.453955544428258
471,5.328657517362944
472,4.416270836368053
473,4.716180168335242
474,5.8068431575322235
475,5.616049193286353
476,5.741981681882098
477,4.886442800017689
478,5.5107292904374745
479,6.443431934587678
480,5.647018272710748
481,5.196360213738648
482,5.759730263075421
483,4.843107934247963
484,4.4929589370978915
