"id","date","date_value"
"asc_3d216d","2017-02-09","2.082551"
"asc_3d216d","2017-02-15","1.525047"
"asc_3d216d","2017-02-21","1.963839"
"asc_3d216d","2017-02-27","-1.057949"
"asc_3d216d","2017-03-05","1.212246"
"asc_3d216d","2017-03-11","1.749086"
"asc_3d216d","2017-03-17","3.630013"
"asc_3d216d","2017-03-23","1.291318"
"asc_3d216d","2017-03-29","4.418998"
"asc_3d216d","2017-04-04","-0.9575951"
"asc_3d216d","2017-04-10","1.234899"
"asc_3d216d","2017-04-16","3.07551"
"asc_3d216d","2017-04-22","1.604577"
"asc_3d216d","2017-04-28","4.035877"
"asc_3d216d","2017-05-04","1.908557"
"asc_3d216d","2017-05-10","1.214673"
"asc_3d216d","2017-05-16","0.8789243"
"asc_3d216d","2017-05-22","3.751266"
"asc_3d216d","2017-06-03","0.1085486"
"asc_3d216d","2017-06-15","-1.123534"
"asc_3d216d","2017-06-27","4.462307"
"asc_3d216d","2017-07-09","7.347164"
"asc_3d216d","2017-07-21","1.550108"
"asc_3d216d","2017-08-02","-1.878423"
"asc_3d216d","2017-08-14","-7.850916"
"asc_3d216d","2017-08-26","2.569009"
"asc_3d216d","2017-09-07","2.785619"
"asc_3d216d","2017-09-19","7.741922"
"asc_3d216d","2017-10-13","2.965387"
"asc_3d216d","2017-10-25","1.210544"
"asc_3d216d","2017-11-06","0.6160864"
"asc_3d216d","2017-11-18","5.639564"
"asc_3d216d","2017-11-30","4.388769"
"asc_3d216d","2017-12-12","3.745774"
"asc_3d216d","2017-12-24","2.192765"
"asc_3d216d","2018-01-05","13.39148"
"asc_3d216d","2018-01-17","2.157554"
"asc_3d216d","2018-01-29","2.962147"
"asc_3d216d","2018-02-10","2.447607"
"asc_3d216d","2018-02-22","-0.5070114"
"asc_3d216d","2018-03-18","12.84827"
"asc_3d216d","2018-03-30","2.171402"
"asc_3d216d","2018-04-11","0.8558643"
"asc_3d216d","2018-04-23","2.927312"
"asc_3d216d","2018-05-05","2.208271"
"asc_3d216d","2018-05-17","-3.947215"
"asc_3d216d","2018-05-29","0.1608499"
"asc_3d216d","2018-06-10","6.866281"
"asc_3d216d","2018-06-22","5.56534"
"asc_3d216d","2018-07-04","4.697355"
"asc_3d216d","2018-07-16","-1.292599"
"asc_3d216d","2018-07-28","0.8172961"
"asc_3d216d","2018-08-09","2.652945"
"asc_3d216d","2018-08-21","-0.3023714"
"asc_3d216d","2018-09-02","0.14415"
"asc_3d216d","2018-09-14","-0.8892054"
"asc_3d216d","2018-09-26","-7.949775"
"asc_3d216d","2018-10-08","-1.882954"
"asc_3d216d","2018-10-20","-1.401987"
"asc_3d216d","2018-11-01","0.4076849"
"asc_3d216d","2018-11-13","-0.8741443"
"asc_3d216d","2018-11-25","-3.269067"
"asc_3d216d","2018-12-07","-12.77805"
"asc_3d216d","2018-12-19","-14.58797"
"asc_3d216d","2018-12-31","-9.272194"
"asc_3d216d","2019-01-12","-7.925297"
"asc_3d216d","2019-01-24","-0.1673933"
"asc_3d216d","2019-02-05","-1.808581"
"asc_3d216d","2019-02-17","-6.80512"
"asc_3d216d","2019-03-01","-7.069714"
"asc_3d216d","2019-03-13","-9.224394"
"asc_3d216d","2019-03-25","-6.308394"
"asc_3d216d","2019-04-06","-0.922814"
"asc_3d216d","2019-04-18","-13.0876"
"asc_3d216d","2019-04-30","-18.10341"
"asc_3d216d","2019-05-12","-7.580207"
